latency(lag),total size,packet,time_stamp,err_rate
5295,37843177943,100000032,30404.89,0
5296,37841933438,100000032,30421.23,0
5296,37845366667,100000032,30437.57,0
5296,37844985494,100000032,30453.90,0
5294,37840371058,100000032,30470.23,0
5294,37844962635,100000032,30486.57,0
5296,37847868726,100000032,30502.91,0
5296,37843630675,100000032,30519.25,0
5296,37845905274,100000032,30535.59,0
5296,37845391559,100000032,30551.93,0
5295,37843043570,100000032,30568.25,0
5294,37841522065,100000032,30584.60,0
5296,37844582744,100000032,30600.92,0
5296,37844522395,100000032,30617.27,0
5295,37845147606,100000032,30633.61,0
5295,37843489392,100000032,30649.94,0
5295,37842504586,100000032,30666.27,0
5296,37842545231,100000032,30682.61,0
5298,37846634586,100000032,30698.94,0
5298,37845163570,100000032,30715.29,0
5297,37841634117,100000032,30731.62,0
5297,37842728119,100000032,30747.95,0
5297,37842564100,100000032,30764.29,0
5296,37838468520,100000032,30780.62,0
5297,37841753231,100000032,30796.95,0
5300,37847314563,100000032,30813.30,0
5301,37847237293,100000032,30829.63,0
5298,37843866373,100000032,30845.97,0
5296,37841810040,100000032,30862.31,0
5295,37841237943,100000032,30878.63,0
5296,37839993341,100000032,30894.97,0
5297,37841224376,100000032,30911.30,0
5298,37845557112,100000032,30927.64,0
5297,37843440606,100000032,30943.98,0
5295,37842698397,100000032,30960.31,0
5296,37842335854,100000032,30976.65,0
5296,37845083823,100000032,30992.99,0
5296,37843823536,100000032,31009.32,0
5295,37843208923,100000032,31025.66,0
5294,37841127079,100000032,31041.98,0
5294,37843327480,100000032,31058.32,0
5296,37847281326,100000032,31074.66,0
5295,37844478607,100000032,31091.00,0
5296,37844599285,100000032,31107.34,0
5296,37846991728,100000032,31123.68,0
5294,37839590213,100000032,31140.01,0
5296,37844494505,100000032,31156.35,0
5296,37844072592,100000032,31172.68,0
5296,37841671251,100000032,31189.01,0
5296,37843498418,100000032,31205.35,0
5296,37844116054,100000032,31221.69,0
5295,37841755081,100000032,31238.03,0
5296,37841542875,100000032,31254.35,0
5297,37842581040,100000032,31270.69,0
5297,37841202219,100000032,31287.03,0
5367,38002058442,100000032,31303.63,0
5471,38364821348,100000032,31320.78,0
5303,37851367788,100000032,31337.13,0
5299,37844068670,100000032,31353.46,0
5310,37865434556,100000032,31369.83,0
5302,37849414258,100000032,31386.18,0
5302,37848331010,100000032,31402.52,0
5300,37846553018,100000032,31418.87,0
5297,37842213679,100000032,31435.20,0
