latency(lag),total size,packet,time_stamp,err_count,success_count
3870,37610147544,100000012,13618.14,812928,98731032
3871,37610532540,100000008,13650.26,812928,98731031
3870,37610096555,100000004,13682.38,812920,98731046
3870,37610307202,100000004,13714.49,812876,98731143
3869,37610187123,100000004,13746.62,812391,98731591
3870,37609988030,100000004,13778.73,811189,98732784
3870,37609693036,100000002,13810.86,812928,98731040
3870,37610610410,100000002,13842.98,812928,98730989
3870,37610284210,100000004,13875.09,812928,98731065
3870,37610290115,100000003,13907.21,812899,98731057
3869,37610219000,100000001,13939.33,812858,98731165
3869,37609900292,100000008,13971.45,811754,98732226
3869,37609894092,100000004,14003.57,811865,98732097
3870,37609848843,100000004,14035.68,812928,98731021
3870,37610536205,100000004,14067.80,812928,98731003
3870,37610577274,100000008,14099.92,812928,98731071
3870,37610139694,100000004,14132.04,812882,98731124
3869,37610212025,100000004,14164.15,812843,98731133
3870,37609969633,100000012,14196.27,811155,98732833
3869,37609875792,100000004,14228.39,812496,98731458
3868,37610114046,100000004,14260.51,812928,98731028
3869,37610495891,100000004,14292.62,812928,98731030
3874,37610124878,100000008,14324.74,812920,98731048
3875,37610325928,100000004,14356.86,812876,98731132
3875,37610104097,100000005,14388.98,812463,98731535
3876,37610012452,100000003,14421.10,811117,98732856
3875,37609689550,100000004,14453.21,812928,98731041
3875,37610662969,100000004,14485.33,812928,98730985
3875,37610227561,100000004,14517.44,812928,98731071
3877,37610163564,100000008,14549.57,812906,98731051
3877,37610316631,100000020,14581.68,812864,98731173
3876,37609907940,100000008,14613.80,811855,98732113
3877,37609907022,100000016,14645.92,811751,98732240
3877,37609812916,100000008,14678.04,812928,98731025
3877,37610634461,100000004,14710.15,812928,98731004
3876,37610534033,100000004,14742.27,812928,98731069
3877,37610137166,100000004,14774.39,812883,98731114
3877,37610357818,100000012,14806.51,812847,98731141
3947,37609828416,100000004,14838.63,811240,98732744
3905,37609821165,100000004,14870.75,812406,98731553
3881,37610138792,100000004,14902.87,812928,98731015
3877,37610541134,100000004,14934.99,812928,98731022
3877,37610151438,100000004,14967.11,812920,98731057
3878,37610287964,100000004,14999.23,812876,98731136
3877,37610181078,100000020,15031.34,812524,98731482
3877,37609972119,100000016,15063.46,811056,98732930
3877,37609676633,100000006,15095.58,812928,98731040
3877,37610590969,100000002,15127.70,812928,98730993
3877,37610185079,100000008,15159.81,812928,98731067
3877,37610164284,100000012,15191.94,812911,98731052
3877,37610435937,100000004,15224.06,812865,98731159
3877,37609975349,100000004,15256.18,811949,98732013
3876,37609889498,100000004,15288.28,811651,98732335
3875,37609780049,100000004,15320.40,812928,98731019
3876,37610492211,100000004,15352.53,812928,98731008
3877,37610669311,100000008,15384.64,812928,98731071
3877,37610186299,100000008,15416.76,812883,98731102
3878,37610281902,100000004,15448.88,812847,98731146
3878,37609786745,100000012,15480.99,811315,98732675
3878,37609832536,100000016,15513.11,812331,98731639
3876,37610092939,100000008,15545.23,812928,98731022
3876,37610642658,100000004,15577.35,812928,98731008
3877,37610171025,100000004,15609.47,812923,98731064
3876,37610207627,100000004,15641.59,812873,98731139
3877,37610262126,100000008,15673.70,812592,98731403
3877,37609956960,100000008,15705.82,810988,98732995
3877,37609662632,100000004,15737.94,812928,98731039
3877,37610560380,100000008,15770.06,812928,98730994
3877,37610292937,100000004,15802.18,812928,98731059
3877,37610158750,100000008,15834.29,812914,98731053
3877,37610333510,100000004,15866.41,812864,98731160
3877,37609958339,100000004,15898.53,812037,98731924
3877,37609968261,100000008,15930.65,811561,98732413
3877,37609686889,100000008,15962.76,812928,98731039
3876,37610487233,100000004,15994.88,812928,98731005
3876,37610622761,100000004,16027.01,812928,98731067
3877,37610254965,100000004,16059.12,812885,98731094
3877,37610387820,100000004,16091.24,812848,98731146
3876,37609696922,100000004,16123.36,811382,98732586
3877,37609783422,100000004,16155.48,812261,98731718
3876,37610128245,100000004,16187.60,812928,98731006
3876,37610584700,100000004,16219.71,812928,98731018
3876,37610357143,100000004,16251.83,812923,98731060
3875,37610105587,100000004,16283.95,812878,98731138
3875,37610231182,100000004,16316.07,812660,98731325
3875,37609963009,100000004,16348.18,810939,98733028
3876,37609693681,100000012,16380.30,812904,98731083
3876,37610522412,100000004,16412.42,812928,98730993
3876,37610274618,100000004,16444.54,812928,98731045
3876,37610182319,100000004,16476.66,812914,98731060
3876,37610346598,100000008,16508.77,812867,98731167
3876,37609960830,100000004,16540.90,812119,98731835
3877,37609983008,100000016,16573.01,811476,98732513
